"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050581,MSPB-1,1.131290,,01/01/2018,12/31/2018
050586,MSPB-1,0.875384,,01/01/2018,12/31/2018
050588,MSPB-1,1.123681,,01/01/2018,12/31/2018
050589,MSPB-1,1.126274,,01/01/2018,12/31/2018
050590,MSPB-1,0.909502,,01/01/2018,12/31/2018
050597,MSPB-1,1.131310,,01/01/2018,12/31/2018
050599,MSPB-1,0.945148,,01/01/2018,12/31/2018
050603,MSPB-1,0.991521,,01/01/2018,12/31/2018
050604,MSPB-1,0.896573,,01/01/2018,12/31/2018
050608,MSPB-1,0.906706,,01/01/2018,12/31/2018
050609,MSPB-1,0.872442,,01/01/2018,12/31/2018
050616,MSPB-1,1.000658,,01/01/2018,12/31/2018
050624,MSPB-1,0.996370,,01/01/2018,12/31/2018
050625,MSPB-1,1.054634,,01/01/2018,12/31/2018
050633,MSPB-1,0.964732,,01/01/2018,12/31/2018
050636,MSPB-1,0.959372,,01/01/2018,12/31/2018
050641,MSPB-1,1.224347,,01/01/2018,12/31/2018
050663,MSPB-1,1.228484,,01/01/2018,12/31/2018
050668,MSPB-1,N/A,1,01/01/2018,12/31/2018
050674,MSPB-1,0.869849,,01/01/2018,12/31/2018
050677,MSPB-1,0.899070,,01/01/2018,12/31/2018
050678,MSPB-1,1.011707,,01/01/2018,12/31/2018
050684,MSPB-1,1.002397,,01/01/2018,12/31/2018
050686,MSPB-1,1.017094,,01/01/2018,12/31/2018
050688,MSPB-1,0.943899,,01/01/2018,12/31/2018
050689,MSPB-1,0.945173,,01/01/2018,12/31/2018
050690,MSPB-1,0.800563,,01/01/2018,12/31/2018
050696,MSPB-1,1.001012,,01/01/2018,12/31/2018
050697,MSPB-1,0.744395,,01/01/2018,12/31/2018
050701,MSPB-1,0.947563,,01/01/2018,12/31/2018
050704,MSPB-1,1.202724,,01/01/2018,12/31/2018
050708,MSPB-1,0.897230,,01/01/2018,12/31/2018
050709,MSPB-1,0.912752,,01/01/2018,12/31/2018
050710,MSPB-1,0.881747,,01/01/2018,12/31/2018
050714,MSPB-1,0.892682,,01/01/2018,12/31/2018
050717,MSPB-1,0.971570,,01/01/2018,12/31/2018
050723,MSPB-1,0.932664,,01/01/2018,12/31/2018
050724,MSPB-1,0.977120,,01/01/2018,12/31/2018
050726,MSPB-1,0.895628,,01/01/2018,12/31/2018
050735,MSPB-1,1.236914,,01/01/2018,12/31/2018
050736,MSPB-1,1.016691,,01/01/2018,12/31/2018
050737,MSPB-1,1.140177,,01/01/2018,12/31/2018
050738,MSPB-1,1.298881,,01/01/2018,12/31/2018
050739,MSPB-1,1.043416,,01/01/2018,12/31/2018
050740,MSPB-1,1.061653,,01/01/2018,12/31/2018
050742,MSPB-1,1.166376,,01/01/2018,12/31/2018
050744,MSPB-1,1.129312,,01/01/2018,12/31/2018
050745,MSPB-1,1.122905,,01/01/2018,12/31/2018
050746,MSPB-1,1.138488,,01/01/2018,12/31/2018
050747,MSPB-1,1.281347,,01/01/2018,12/31/2018
